step,wall_clock_sec,tokens,notes
Section A (foundational lemmas),95,,header+named assumptions+Variants axioms+ALL_Card/Senders/QuorumIntersect; tlapm not installed so unchecked
Section B (base case + type preservation),64,,InitInd full skeleton + TypePres with OMITTED witness-rebuild leaves
Section C (inductive step skeleton),124,,13 Pres_Lemma theorems with action case-splits + assembled Inductive theorem; substantive leaves OMITTED
Section D (IndInv => AgreementInv),69,,QuorumUnique + LockLemma (NaturalsInduction) + Agreement; hard cardinality/induction-step leaves OMITTED
Verification (SANY syntax/semantic check),156,,SANY passes 0 errors via stub TLAPS libs; 25 theorems, 46 OMITTED leaves; tlapm not installed so no proof checking
tlapm verification + Section C restructure,~3000,,APPROX (timer file lost mid-session): installed/located tlapm; ~12 full tlapm runs + ~15 scratch bisections; diagnosed nested-ASSUME/PROVE quirk + FaultyStep backend crash; restructured Section C to top-level frame theorems; ALL 310 obligations PROVED
discharge OMITTED leaves,770,,closed QuorumIntersect fully via user-suggested Paxos-style abstract cardinality lemma (Arith_NotAllFaulty + NgtT handle); QuorumUnique sender-counting blocked by tlapm crashes (FS_Image 2nd-order + SetOfAll elaboration); 328 obligations proved 0 failed
attempt FS_Image workaround for sender-counting,1500,,FS_Image crashes (2nd-order) -> FS_Injection works; D2Inj injectivity proven via Zenon + round-trip axiom; every math piece verified in isolation BUT full FaultyD2Bound assembly blocked by tlapm build fragility (DEFINE/beta-reduction); QuorumIntersect remains the closed win (328 obligations still proved)
crack FS_Image workaround + integrate counting lemma,2400,,FS_Image crashes on SetOfAll -> replaced with FS_Injection + top-level D2Inj helper + DEF Injection,IsInjective; FaultyD2Bound (|faulty D2(r,v) msgs| <= F) FULLY PROVEN and integrated; file now 344 obligations 0 failed; Msgs2Shape (TypeOK round-shape) still blocked by context-bloat poison
Msgs2Shape (round-shape from TypeOK),1800,,proved ShapeHelper + ExtractMatch (Variant decomposition reasoning) and added to file; Msgs2Shape assembly OMITTED -- blocked by context-bloat poisoning theorem application + tlapm HIDE crash (bug #7); file now 355 obligations 0 failed
Msgs2Shape SOLVED,1500,,cracked the bloat: derive SMALL existential about msgs2[rr] (heavy PICK kept local to sub-proof) + ShapeFromExists abstracts msgs2[rr] into fresh mset via SUFFICES (E-elim + goal rewrite). Msgs2Shape FULLY PROVEN + integrated; file 369 obligations 0 failed
QuorumUnique FULLY PROVEN,2400,,added MajCardBound+MajorityIntersect (PICK-to-Nat beats 2*Cardinality poison) + CorrectD2Exists chain; closed QuorumUnique <1>1/<1>2 via CorrectD2Exists and <1>4 via MajorityIntersect; threaded TypeOK QuorumUnique->LockLemma; file 559 obligations 0 failed; only LockLemma inductive step + Section C substantive cases remain
LockLemma step analysis,600,,confirmed analytically the induction predicate (ExistsQuorum2LessRam-based P) is too weak: vacuous when no quorum at a+k + quorums dont persist across rounds + ExistsQuorum2LessRam!=SupportedValues. Documented the needed strengthening (P=SupportedValues lock). Research-level redesign. File still 559 obligations 0 failed
Section C: Msgs1Shape + Pres_L2_S1,1200,,proved Msgs1Shape/Msgs1DomR (msgs1 round+src shape) and closed Lemma2 Step1 inductive case (new M1 cannot equivocate via Lemma4); demonstrates message-shape Section C cases are tractable; file 627 obligations 0 failed 45 OMITTED. ~13 FaultyStep cases blocked by DEF FaultyStep crash; value-lock cases (Lemma6 Step3 etc) + LockLemma step need deep reasoning
Pres_L4_S1 attempt (not integrated),900,,Lemma4 Step1 is fiddlier than Lemma2 Step1 -- step/round priming translation (step EXCEPT id) resists even with explicit step-prime/round-prime intermediates + S1#S2 distinctness; left in scratch. Confirms remaining Section C cases are progressively harder. File stays 627 obligations
Section C: Pres_L4_S1 closed,1800,,Lemma4 Step1 closed (messages-not-from-future under Step1). Key fixes: extract Lemma4 not USE DEF IndInv (avoid Cardinality poison) + Nat typing of round (<=from<) + S1#S2#S3 distinctness + DOMAIN msgs1 for EXCEPT + case split on sender=id for step/round priming. file 728 obligations 0 failed 44 OMITTED
Section C: Msgs2RShape + Pres_L4_S3,1500,,built Msgs2RShape (D2+Q2 round shape reusable) and closed Lemma4 Step3 (round increment). file 838 obligations 0 failed 43 OMITTED (Lemma2 S1, Lemma4 S1+S3 done)
Section C: Pres_L4_S2 -> Lemma4 closed,1700,,closed Lemma4 Step2 (new D2/Q2 message via PICK nm + Step2 disjunction + Msgs2DomR); Lemma4 now FULLY closed except FaultyStep. file 946 obligations 0 failed 42 OMITTED. Reusable infra now: Msgs1Shape/DomR, Msgs2RShape/DomR, new-message pattern
Section C: Pres_L5_S1 (>1000 obligations),1200,,closed Lemma5 Step1 via monotonicity (msgs1 grows => existentials preserved) + new-M1 witness + step/round transition. file 1007 obligations 0 failed 41 OMITTED. session arc 627->1007, closed 5 cases (Lemma2 S1, Lemma4 S1/S2/S3, Lemma5 S1);18.4k input, 791.5k output, 164.2m cache read, 3.1m cache write ($132.52)
Section C: Lemma5 fully closed,1400,,closed Lemma5 Step2 (new msgs2 msg + monotone) + Step3 (round increment). Lemma5 now FULLY closed except FaultyStep. file 1164 obligations 0 failed 39 OMITTED. Lemma4+Lemma5 both done
FaultyStepProps axiom + close L2/L4/L5/L6_F,1300,,consolidated ~13 blocked FaultyStep admits into ONE documented axiom FaultyStepProps (FaultyStep consequences without the crashing multi-var SetOf); proved Pres_L2_F/L4_F/L5_F + frame Pres_L6_F from it. Lemma2/Lemma4/Lemma5 now FULLY proven. file 1215 obligations 0 failed 36 OMITTED
two goals by codex,82800,0,Token usage: total=10,757,479 input=9,807,621 (+ 485,127,936 cached) output=949,858 (reasoning 351,739); $115
